Day,Period,Time,SubjectCode,SubjectName,Teachers,Room
Wed,4,12:05-1:00,TCS-408,Programming in Java,Dr. Jyoti Agarwal,LT-2
Mon,2,9:55-10:50,TCS-408,Programming in Java,Dr. Jyoti Agarwal,LT-2
Mon,0,8:00-8:55,TCS-408,Programming in Java,Dr. Jyoti Agarwal,LT-1
Sat,4,12:05-1:00,TCS-408,Programming in Java,Dr. Jyoti Agarwal,LT-5
Tue,2,9:55-10:50,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Sat,1,9:00-9:55,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Thu,0,8:00-8:55,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-2
Mon,6,1:55-2:50,TCS-402,Finite Automata and Formal Languages,Dr. Vikas Tripathi,LT-1
Sat,3,11:10-12:05,TCS-403,Microprocessors,Dr. Abhay Sharma,LT-1
Sat,5,1:00-1:55,TCS-403,Microprocessors,Dr. Abhay Sharma,LT-2
Wed,2,9:55-10:50,TCS-403,Microprocessors,Dr. Abhay Sharma,LT-5
Thu,3,11:10-12:05,TCS-403,Microprocessors,Dr. Abhay Sharma,LT-2
Tue,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Dr. Siddhant Thapliyal,LT-5
Fri,3,11:10-12:05,TCS-409,Design and Analysis of Algorithms,Dr. Siddhant Thapliyal,LT-1
Fri,1,9:00-9:55,TCS-409,Design and Analysis of Algorithms,Dr. Siddhant Thapliyal,LT-1
Wed,5,1:00-1:55,TCS-409,Design and Analysis of Algorithms,Dr. Siddhant Thapliyal,LT-2
Sat,6,1:55-2:50,PCS-409,DAA Lab,Ms. Anamika Sharma & Dr. D.R. Gangodkar,Lab-1
Tue,4,12:05-1:00,PCS-409,DAA Lab,Ms. Anamika Sharma & Dr. D.R. Gangodkar,Lab-2
Wed,6,1:55-2:50,PCS-408,Java Lab,Dr. Jyoti Agarwal & Ms. Ayushi,Lab-1
Wed,0,8:00-8:55,PCS-408,Java Lab,Dr. Jyoti Agarwal & Ms. Ayushi,Lab-1
Tue,3,11:10-12:05,PCS-403,Microprocessors Lab,Ms. Raj Gusain,Lab-2
Tue,0,8:00-8:55,PCS-403,Microprocessors Lab,Ms. Raj Gusain,Lab-1
